modal,image,split,model_count,low_dice_count,low_boundary_iou_count,high_hd95_count,high_dice_low_boundary_count,Dice_mean,Boundary_IoU_mean,HD95_mean,interior_error_ratio_mean,boundary_error_ratio_mean,exterior_error_ratio_mean,boundary_FN_error_ratio_mean,boundary_FP_error_ratio_mean,boundary_fp_fn_balance_mean,scale,global_hfr,boundary_hfr,boundary_freq_std,boundary_freq_gap,common_low_dice,common_low_boundary_iou,common_high_hd95
NBI,gas_4c45177c57b20f13,test,4,0,4,0,0,0.775095112797082,0.056595098703181225,50.45641740475597,0.0,0.18773273467724294,0.8122672653227571,8.892078338701033e-05,0.18764381389385593,0.9995393610987928,0.5352630615234375,0.0010206533775983,0.0009534360489486,0.0005201732943668,0.0002125328649721,False,True,False
NBI,gas_af1a47323452e495,test,4,0,4,0,0,0.7240972805477043,0.07657082695163152,42.45096837938847,0.0,0.1801283345471832,0.8198716654528169,0.002354894512220162,0.17777344003496304,0.9881899083080778,0.2172698974609375,0.0011859619265646,0.0016710271903785,0.0004997644876252,0.0002775495853077,False,True,False
NBI,gas_9708ea8244c635a,test,4,2,4,3,0,0.4516208401562671,0.0439008022427281,122.62666407914402,0.36853322459516114,0.17071248955987392,0.4607542858449649,0.13985949329557584,0.03085299626429807,0.16008115548281765,0.1358184814453125,0.0006054475736629,0.0006901539255365,0.0004182646493835,0.0003168153046568,False,True,False
NBI,gas_34051,test,4,2,4,0,0,0.5188380081733115,0.05444561970633932,74.73629359461934,0.16093959886277637,0.16967488317169788,0.6693855179655257,0.06735415760578148,0.1023207255659164,0.5769956394323443,0.191162109375,6.703399311957955e-05,0.0002640112880253,0.0002104622837312,5.797877723162637e-05,False,True,False
NBI,gas_b964aea372dee549,test,4,0,4,0,0,0.6577635711159411,0.05113551146901217,55.62611494806754,1.5505799168889165e-05,0.1674058537114515,0.8325786404893796,0.0032658607354784323,0.16413999297597306,0.9810240173967566,0.2228546142578125,0.0010470250603933,0.0013418855346143,0.000506149900534,0.0003828127498333,False,True,False
NBI,gas_a1b3c5fce05ae64b,test,4,0,4,0,0,0.6169100924527738,0.053739983893359225,85.88924876725635,0.05652267412826824,0.16230753962301664,0.781169786248715,0.060142812024318745,0.10216472759869791,0.6328033468346687,0.13946533203125,0.0005617859323609,0.000296525231871,9.86471651287692e-05,9.825740370510128e-05,False,True,False
NBI,gas_2c20688b4848b320,test,4,3,4,2,0,0.40452876004835164,0.026693831928888325,79.9382289128701,0.0,0.16135924467260224,0.8386407553273978,0.0,0.16135924467260224,1.0,0.0446014404296875,0.0006727128491855,0.0011670750570932,0.0002246768566459,4.626682670164778e-05,False,True,False
NBI,gas_1a22e2c2a978c376,test,4,0,4,3,0,0.6318854059251648,0.0496706523456546,100.59007592140793,0.0683353525109139,0.15694968982952895,0.7747149576595571,0.054201492211178114,0.10274819761835084,0.6541848578111754,0.282318115234375,0.0008944023980162,0.0007393609776404,0.0007990388225941,0.0007223668305287,False,True,False
NBI,gas_4d151a64d910d80,test,4,0,4,0,0,0.65247267486521,0.06745440260846672,57.75485491523751,0.01048202082052981,0.1557000694395058,0.8338179097399644,0.036038287118049,0.11966178232145677,0.7717668732081105,0.3000030517578125,0.0004021203719211,0.0006577132557418,0.0004493329339455,0.0001677228853222,False,True,False
NBI,gas_872946e39faa6a36,test,4,3,3,4,0,0.2742598256029986,0.0691238205757686,129.33319319428875,0.2717605831512436,0.1527956461918375,0.575443770656919,0.11594688357443003,0.036848762617407466,0.1968051834163852,0.1016387939453125,0.0009113858411833,0.0010873513535213,0.0003248774000397,0.0001911646436216,False,False,True
NBI,gas_48c44f4367c1bd8f,test,4,0,4,0,0,0.6645803751412176,0.0793660251036365,69.5644764821271,0.015507173116679093,0.14309987740767052,0.8413929494756504,0.015070853526900966,0.12802902388076956,0.8917076490086019,0.3529815673828125,0.0003067004489958,0.0008847372753506,0.000865625826542,0.0003455129618203,False,True,False
NBI,gas_13be60855a9fb511,test,4,0,4,0,0,0.6512719978531081,0.03450510129301315,55.27259212027947,0.12896223643054028,0.14158251120252466,0.7294552523669351,0.051029449364331535,0.09055306183819312,0.6873531869326568,0.3032073974609375,0.0004475720816869,0.0006015164539717,0.0005337808718549,5.318223375406237e-05,False,True,False
NBI,gas_243e4bc2b4d0642f,test,4,0,4,0,0,0.6709587950987221,0.03399550054564307,72.2501219346555,0.0,0.13372196473293108,0.8662780352670689,0.0009066292610719623,0.13281533547185914,0.9933566313972206,0.2871551513671875,0.0004254324543173,0.0005138810802517,0.0002950911162492,0.0002359811113098,False,True,False
NBI,gas_c76443e2959241,test,4,0,4,0,0,0.5965175269419545,0.03833827084106935,62.04887698375704,0.0,0.13101616708679653,0.8689838329132035,0.0028616441221023955,0.12815452296469412,0.9801195991038637,0.196319580078125,0.0012496543105764,0.0015919085301226,0.0010494770499524,0.0008656024480928,False,True,False
NBI,gas_c734daf6e40c2ca5,test,4,1,4,0,0,0.5763359131210877,0.004348605879922574,66.48073675037588,0.0,0.12320759855942541,0.8767924014405746,0.0,0.12320759855942541,1.0,0.24432373046875,0.000328179536445,0.0003659640560738,0.000168176158309,0.0003817325600868,False,True,False
NBI,gas_adabb41367f870fe,test,4,0,4,0,0,0.6041249910949168,0.05900339127776988,62.99891713002852,0.0009123460538734568,0.12255095634439694,0.8765366976017296,0.005121553853379859,0.11742940249101708,0.9487343401830945,0.166595458984375,0.0013313970514104,0.0019338919716799,0.0002380990050961,0.0001650240438882,False,True,False
NBI,gas_2b714b06a60e137e,test,4,0,4,0,0,0.5278125126842665,0.0745145254634196,78.83073632343358,0.0011370387057777064,0.12245360253862222,0.8764093587556001,0.004473981638400031,0.11797962090022221,0.9633515426901325,0.320220947265625,0.0008345980618861,0.0016454959784068,0.0009002840281047,0.000320421603852,False,True,False
NBI,gas_d0dd34ddf755c8ea,test,4,4,4,1,0,0.1283956073119158,0.023822837976657324,93.80846757743822,0.6442248565771802,0.12161823220423976,0.2341569112185801,0.10121598253915479,0.020402249665084964,0.16815820860425643,0.2421112060546875,0.0005271401021697,0.0006301905826087,0.0002817699150965,0.0001781798792354,True,True,False
